Category,SourceVersion,Source,CountryCode,CountryName,Year,NumberProducts,NumberCountries,NumberCommodities,ProductCode,ProductName,ProductionQuantity,PhysicalUnit,ReferencePriceAtFGL,ProducerPriceAtFGL, ValueProduction_PP , ValueProduction_REF ,MonetaryUnit,NRP,NRP_SimpleAverage,DistortionValue,NOTES,WBIncomeGroup
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,ARG,Argentina,2005,5,1,5,AnPr,Animal products,7363786524,INDEX,1.2108,1," 7,363,786,523.97 "," 8,915,985,170.40 ",USD,-17.4092,-12.63375383,-1552198646,[9],Middle Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,ARG,Argentina,2005,1,1,1,F&V,Fruits and vegetables,1154919123,INDEX,1,1," 1,154,919,122.58 "," 1,154,919,122.58 ",USD,0,0,0,[9],Middle Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,ARG,Argentina,2005,2,1,2,GRN,Grains,1635073598,INDEX,1.2527,1," 1,635,073,598.21 "," 2,048,236,432.47 ",USD,-20.1716,-20.94483627,-413162834.3,[9],Middle Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,ARG,Argentina,2005,2,1,2,OS&Pr,Oilseeds and products,6290486060,INDEX,1.349,1," 6,290,486,059.50 "," 8,485,859,277.70 ",USD,-25.871,-22.77141753,-2195373218,[9],Middle Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,AUS,Australia,2005,7,1,7,AnPr,Animal products,13545920816,INDEX,1,1," 13,545,920,816.41 "," 13,545,920,816.41 ",USD,0,0,0,[9],High Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,AUS,Australia,2005,5,1,5,GRN,Grains,5579952580,INDEX,1,1," 5,579,952,579.63 "," 5,579,952,579.63 ",USD,0,0,0,[9],High Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,AUS,Australia,2005,3,1,3,OS&Pr,Oilseeds and products,405110143.7,INDEX,1,1," 405,110,143.71 "," 405,110,143.71 ",USD,0,0,0,[9],High Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,AUS,Australia,2005,2,1,2,Other,Other,1543888699,INDEX,1,1," 1,543,888,699.22 "," 1,543,888,699.22 ",USD,0,0,0,[9],High Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,BDI,Burundi,2005,1,1,1,F&V,Fruits and vegetables,62655025.54,INDEX,3.1108,1," 62,655,025.54 "," 194,904,521.00 ",USD,-67.8535,-67.85347758,-132249495.5,[9],Low Income Countries
COUNTRY_GROUP,Ag-Incentives Consortium (May 2020),Ag-Incentives Consortium,BDI,Burundi,2005,2,1,2,GRN,Grains,65357222.26,INDEX,0.9321,1," 65,357,222.26 "," 60,920,259.86 ",USD,7.2832,9.660652328,4436962.404,[9],Low Income Countries
