Country,Sct,Commodity,Description,Formula / Source,Currency / Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,I.  Level of production   ,Sugar,,MPS table,000 tons,876.01,863.99,915.83,920.56,856.49,917.54,829.80,781.16,758.72,834.93,709.28,800.33,852.28,791.67,721.80,833.99,865.30,896.80,906.33,839.79,784.98,895.23,908.01,789.08,622.62,669.10,678.24,679.93,730.24,806.02,678.43,785.07,735.33,777.73,759.04
Japan,II.  Value of production (at farm gate)  ,Sugar,,MPS table,JPY bn,123.81,121.72,116.05,121.25,109.87,109.39,97.87,91.72,99.00,98.71,82.91,92.20,104.02,95.20,90.90,95.11,96.21,98.10,102.20,94.16,91.47,47.42,49.51,44.00,43.57,47.81,47.96,44.44,45.61,48.93,45.01,50.83,44.74,48.52,47.55
Japan,III. Producer Single Commodity Transfers,Sugar,"Includes Sugar specific programmes in A, B, C and D",A+B+C+D,JPY bn,87.24,82.40,72.94,66.18,67.13,67.54,61.69,58.22,60.65,59.77,49.44,53.66,67.18,63.76,54.96,57.69,57.93,63.38,62.55,51.95,49.77,49.03,52.97,42.49,41.35,40.79,42.44,42.64,42.36,45.04,46.29,44.38,42.14,43.18,44.90
Japan,A.  Support based on commodity outputs,Sugar,,A1+A2,JPY bn,87.24,82.40,72.94,66.18,67.13,67.54,61.69,58.22,60.65,59.77,49.44,53.66,67.18,63.76,54.96,57.69,57.93,63.38,62.55,51.95,49.77,49.03,52.97,42.49,41.35,40.79,42.44,42.64,42.36,45.04,46.29,44.38,42.14,43.18,44.90
Japan,               A1.  Market Price Support  ,Sugar,MPS for Sugar,TOTAL table,JPY bn,83.19,78.68,70.11,64.38,65.54,66.06,60.35,56.97,59.24,58.36,48.27,52.35,65.71,62.40,54.36,57.09,56.73,61.78,60.55,49.45,48.27,14.93,16.47,8.69,8.05,14.49,14.94,13.24,13.86,14.94,11.69,15.78,13.94,14.78,14.97
Japan,               A2.  Payments based on output,Sugar,Sugar specific programmes in A2,TOTAL table,JPY bn,4.05,3.72,2.83,1.81,1.59,1.48,1.34,1.25,1.41,1.41,1.17,1.32,1.47,1.36,0.60,0.60,1.20,1.60,2.00,2.50,1.50,34.10,36.50,33.80,33.30,26.30,27.50,29.40,28.50,30.10,34.60,28.60,28.20,28.40,29.93
Japan,B.  Payments based on input use,Sugar,,B1+B2+B3,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,                B1.  Variable input use,Sugar,Sugar specific programmes in B1,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,                B2.  Fixed capital formation,Sugar,Sugar specific programmes in B2,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Japan,                B3.  On-farm services,Sugar,Sugar specific programmes in B3,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
