"LOCATION","Country","PSECSE_INDICATOR","PSECSE indicator","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1986","1986","AUD","Australian Dollar","6","Millions",,,2384.0381224,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1987","1987","AUD","Australian Dollar","6","Millions",,,1884.5919947,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1988","1988","AUD","Australian Dollar","6","Millions",,,2067.8391452,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1989","1989","AUD","Australian Dollar","6","Millions",,,2032.3271167,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1990","1990","AUD","Australian Dollar","6","Millions",,,2102.1588674,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1991","1991","AUD","Australian Dollar","6","Millions",,,1886.018251,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1992","1992","AUD","Australian Dollar","6","Millions",,,2268.3920983,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1993","1993","AUD","Australian Dollar","6","Millions",,,2261.0013215,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1994","1994","AUD","Australian Dollar","6","Millions",,,2253.9272872,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1995","1995","AUD","Australian Dollar","6","Millions",,,2295.7931771,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1996","1996","AUD","Australian Dollar","6","Millions",,,2264.2462705,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1997","1997","AUD","Australian Dollar","6","Millions",,,1915.0018976,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1998","1998","AUD","Australian Dollar","6","Millions",,,1913.3557868,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1999","1999","AUD","Australian Dollar","6","Millions",,,1678.5540626,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2000","2000","AUD","Australian Dollar","6","Millions",,,1582.4615,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2001","2001","AUD","Australian Dollar","6","Millions",,,1831.490515,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2002","2002","AUD","Australian Dollar","6","Millions",,,2177.615301,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2003","2003","AUD","Australian Dollar","6","Millions",,,2136.237829,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2004","2004","AUD","Australian Dollar","6","Millions",,,2130.8907675,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2005","2005","AUD","Australian Dollar","6","Millions",,,2400.589176,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2006","2006","AUD","Australian Dollar","6","Millions",,,2710.681,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2007","2007","AUD","Australian Dollar","6","Millions",,,3108.755182,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,2809.727,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,2109.0610166,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,2507.385,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,2821.884,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,2337.2389,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,2529.9986642,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,2599.565,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,2405.558,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,2765.13272,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,3662.51454,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,3445.525034,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,3527.621,,
"AUS","Australia","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,3544.78,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1986","1986","CAD","Canadian Dollar","6","Millions",,,9821.3583581,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1987","1987","CAD","Canadian Dollar","6","Millions",,,9897.8723826,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1988","1988","CAD","Canadian Dollar","6","Millions",,,8108.0203502,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1989","1989","CAD","Canadian Dollar","6","Millions",,,7471.3320886,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1990","1990","CAD","Canadian Dollar","6","Millions",,,9550.9996159,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1991","1991","CAD","Canadian Dollar","6","Millions",,,9901.5260549,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1992","1992","CAD","Canadian Dollar","6","Millions",,,8097.2181945,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1993","1993","CAD","Canadian Dollar","6","Millions",,,6878.9554024,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1994","1994","CAD","Canadian Dollar","6","Millions",,,6488.874312,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1995","1995","CAD","Canadian Dollar","6","Millions",,,6952.9371746,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1996","1996","CAD","Canadian Dollar","6","Millions",,,6359.6409162,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1997","1997","CAD","Canadian Dollar","6","Millions",,,5403.7230765,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1998","1998","CAD","Canadian Dollar","6","Millions",,,6045.520969,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1999","1999","CAD","Canadian Dollar","6","Millions",,,6588.6094335,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2000","2000","CAD","Canadian Dollar","6","Millions",,,7662.351402,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2001","2001","CAD","Canadian Dollar","6","Millions",,,7192.6001791,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2002","2002","CAD","Canadian Dollar","6","Millions",,,8868.3928022,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2003","2003","CAD","Canadian Dollar","6","Millions",,,10049.320341,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2004","2004","CAD","Canadian Dollar","6","Millions",,,8742.9144062,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2005","2005","CAD","Canadian Dollar","6","Millions",,,9726.8430962,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2006","2006","CAD","Canadian Dollar","6","Millions",,,8954.0193534,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2007","2007","CAD","Canadian Dollar","6","Millions",,,9084.2087031,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2008","2008","CAD","Canadian Dollar","6","Millions",,,7906.0768724,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2009","2009","CAD","Canadian Dollar","6","Millions",,,9220.7428329,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2010","2010","CAD","Canadian Dollar","6","Millions",,,9009.3058074,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2011","2011","CAD","Canadian Dollar","6","Millions",,,9268.7876655,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2012","2012","CAD","Canadian Dollar","6","Millions",,,9098.8528425,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2013","2013","CAD","Canadian Dollar","6","Millions",,,7405.8034752,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2014","2014","CAD","Canadian Dollar","6","Millions",,,6914.4882049,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2015","2015","CAD","Canadian Dollar","6","Millions",,,6836.2523422,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2016","2016","CAD","Canadian Dollar","6","Millions",,,7923.348287,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2017","2017","CAD","Canadian Dollar","6","Millions",,,6940.8008873,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2018","2018","CAD","Canadian Dollar","6","Millions",,,6934.9297691,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2019","2019","CAD","Canadian Dollar","6","Millions",,,7781.9755552,,
"CAN","Canada","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","2020","2020","CAD","Canadian Dollar","6","Millions",,,8514.8861649,,
"ISL","Iceland","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1986","1986","ISK","Iceland Krona","6","Millions",,,8069.97488,,
"ISL","Iceland","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1987","1987","ISK","Iceland Krona","6","Millions",,,10402.096883,,
"ISL","Iceland","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1988","1988","ISK","Iceland Krona","6","Millions",,,13164.893154,,
"ISL","Iceland","TO-TSE","Total Support Estimate (TSE)","NATCUR","National currency","1989","1989","ISK","Iceland Krona","6","Millions",,,15461.661944,,
