country,Commodity,description,year,unit,value,Currency / Unit
BOLIVIA,Beef and veal,Fixed Capital Formation,2006,BOBmn,0.41,BOBmn
BOLIVIA,Beef and veal,Level of Production,2006,000t,182.22,000t
BOLIVIA,Beef and veal,Market Price Support (MPS),2006,BOBmn,-125.65,BOBmn
BOLIVIA,Beef and veal,On-farm Services,2006,BOBmn,0.27,BOBmn
BOLIVIA,Beef and veal,Payments Based on Input Use,2006,BOBmn,0.68,BOBmn
BOLIVIA,Beef and veal,Payments Based on Output,2006,BOBmn,0,BOBmn
BOLIVIA,Beef and veal,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,-9.08,%
BOLIVIA,Beef and veal,Producer Single Commodity Transfers (PSCT),2006,BOBmn,-124.58,BOBmn
BOLIVIA,Beef and veal,Support Based on Commodity Outputs,2006,BOBmn,-125.65,BOBmn
BOLIVIA,Beef and veal,Value of Production (at farm gate),2006,BOBmn,1371.47,BOBmn
BOLIVIA,Beef and veal,Variable Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Fixed Capital Formation,2006,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Level of Production,2006,000t,74.7,000t
BOLIVIA,Pig meat,Market Price Support (MPS),2006,BOBmn,-579.45,BOBmn
BOLIVIA,Pig meat,On-farm Services,2006,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Payments Based on Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Payments Based on Output,2006,BOBmn,0,BOBmn
BOLIVIA,Pig meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,-101.31,%
BOLIVIA,Pig meat,Producer Single Commodity Transfers (PSCT),2006,BOBmn,-579.45,BOBmn
BOLIVIA,Pig meat,Support Based on Commodity Outputs,2006,BOBmn,-579.45,BOBmn
BOLIVIA,Pig meat,Value of Production (at farm gate),2006,BOBmn,571.97,BOBmn
BOLIVIA,Pig meat,Variable Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Fixed Capital Formation,2006,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Level of Production,2006,000t,150.38,000t
BOLIVIA,Poultry meat,Market Price Support (MPS),2006,BOBmn,-548.66,BOBmn
BOLIVIA,Poultry meat,On-farm Services,2006,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Payments Based on Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Payments Based on Output,2006,BOBmn,0,BOBmn
BOLIVIA,Poultry meat,Percentage Producer Single Commodity Transfers (PSCTP),2006,%,-58.85,%
BOLIVIA,Poultry meat,Producer Single Commodity Transfers (PSCT),2006,BOBmn,-548.66,BOBmn
BOLIVIA,Poultry meat,Support Based on Commodity Outputs,2006,BOBmn,-548.66,BOBmn
BOLIVIA,Poultry meat,Value of Production (at farm gate),2006,BOBmn,932.38,BOBmn
BOLIVIA,Poultry meat,Variable Input Use,2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Fixed Capital Formation,2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,Level of Production,2006,000t,492.4,000t
BOLIVIA,Sugar,Market Price Support (MPS),2006,BOBmn,0,BOBmn
BOLIVIA,Sugar,On-farm Services,2006,BOBmn,0,BOBmn
